salary,job_url,job_enterprise,date,job_place,job_name
15000-25000/月,http://jobs.51job.com/beijing/75047601.html?s=0,北京亿玛在线科技有限公司,11-08,北京,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/guangzhou/57766551.html?s=0,广州多益网络股份有限公司,11-08,广州,数据挖掘研究员
10000-20000/月,http://jobs.51job.com/wuhan/80055992.html?s=0,湖北盛天网络技术股份有限公司,11-08,武汉,数据挖掘工程师
15000+ /月,http://jobs.51job.com/beijing/82921932.html?s=0,北京红象云腾系统技术有限公司,11-08,北京,数据挖掘工程师
20000-24999/月,http://jobs.51job.com/beijing/77451369.html?s=0,爱贝云支付,11-08,北京,数据挖掘主管
8000-9999/月,http://jobs.51job.com/guangzhou-thq/77329079.html?s=0,广东五二科技股份有限公司,11-08,广州-天河区,数据采集工程师/数据挖掘工程师
15000-19999/月,http://jobs.51job.com/chengdu-jjq/80537257.html?s=0,四川易贷网金融信息服务有限公司,11-08,成都-锦江区,高级数据挖掘工程师
10000-14999/月,http://jobs.51job.com/sichuansheng/81008402.html?s=0,北京安必奇生物科技有限公司,11-08,异地招聘,大数据部_数据挖掘/广告策略研发工程师（成都）
8000-10000/月,http://jobs.51job.com/guangzhou-thq/77662441.html?s=0,广州威尔森咨询有限公司,11-08,广州-天河区,数据挖掘工程师
6000-7999/月,http://jobs.51job.com/guangzhou/82582298.html?s=0,广州聚房宝网络科技股份有限公司,11-08,广州,数据运营（数据挖掘）
Null,http://ccic.51job.com/sc/show_job_detail.php?jobid=72514810,中国大地财产保险股份有限公司,11-08,上海-浦东新区,数据挖掘岗
20000-24999/月,http://jobs.51job.com/beijing-hdq/78101719.html?s=0,随锐科技股份有限公司,11-08,北京-海淀区,数据挖掘
10000-20000/月,http://jobs.51job.com/chengdu-gxq/79820814.html?s=0,成都景和千城科技有限公司,11-08,成都-高新区,数据挖掘工程师
8000-15000/月,http://jobs.51job.com/hangzhou-gsq/80035923.html?s=0,浙大网新科技股份有限公司,11-08,杭州-拱墅区,数据挖掘和算法工程师
8-10万/年,http://jobs.51job.com/shanghai-qpq/76606843.html?s=0,上海汉得信息技术股份有限公司,11-08,上海-青浦区,数据挖掘建模工程师
8000-12000/月,http://jobs.51job.com/haikou/79592928.html?s=0,天津科莱迪尔信息科技有限公司,11-08,异地招聘,数据挖掘算法工程师
10000-14999/月,http://jobs.51job.com/beijing/51270507.html?s=0,吉贝克信息技术有限公司,11-08,北京,数据挖掘工程师
250元/天,http://jobs.51job.com/shanghai-cnq/77240241.html?s=0,上海壹亩金融信息服务有限公司,11-08,上海-长宁区,数据挖掘/统计实习生
20000-24999/月,http://jobs.51job.com/beijing/76164492.html?s=0,北京国双科技有限公司,11-08,北京,数据挖掘工程师
10000-15000/月,http://jobs.51job.com/wuhan/80460490.html?s=0,武汉烽火普天信息技术有限公司,11-08,武汉,数据挖掘工程师
